Artist,Song,Song Popularity,Artist Popularity,Featured Artist,Featured Artist Popularity,Track ID,Album Name,Release Date,Duration (ms),Explicit,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
Curtis Walsh,Full Recovery,31,31,,,5iRdHQaLCTW165qzj2HM5c,Full Recovery,2018-07-27,176134.0,False,0.515,0.31,9.0,-9.752,1.0,0.0465,0.789,0.0,0.111,0.401,153.142
Curtis Walsh,Perfect Rain - Remix,29,31,Trial & Error,46.0,4q8IMtch1lVEtQX8bM7h59,Perfect Rain Remix,2018-11-23,172598.0,False,0.716,0.661,7.0,-7.253,1.0,0.0466,0.0745,1.19e-05,0.171,0.397,116.972
Curtis Walsh,Perfect Rain,29,31,,,4NNOyxGLkTe2rG3aEdFgYC,Perfect Rain,2018-11-02,163883.0,False,0.659,0.637,7.0,-6.496,1.0,0.0646,0.699,0.0,0.113,0.15,116.888
Curtis Walsh,Seven Seas,23,31,,,1RpTxbZSfDqw0oNv3x7CST,Seven Seas,2019-07-26,165080.0,False,0.662,0.747,6.0,-5.693,0.0,0.059,0.336,0.0,0.294,0.708,90.006
Cuatro Gatos,El Fantasma de la Ópera,34,34,,,7FOkwBsKI1ayKDN9e4QpRq,Mañana Quizá Sea Peor,2009-01-13,242360.0,False,0.348,0.913,3.0,-0.723,1.0,0.043,0.00207,0.215,0.0582,0.333,132.077
Cuatro Gatos,Me Arriesgaré - Acústico,28,34,,,6akmz7yWaJGwyBPI7UNXH8,Me Arriesgaré,2010-09-30,241586.0,False,0.548,0.963,2.0,-2.338,1.0,0.0382,0.00135,0.0,0.0626,0.776,120.1
Cuatro Gatos,Adiós,27,34,,,0Au3JqDBwDbIuRMm6ax6Nu,El Sueño de la Razón,2009-02-09,310026.0,False,0.422,0.959,9.0,-1.352,0.0,0.0456,0.00156,0.0168,0.391,0.479,131.986
Cuatro Gatos,Una Promesa,27,34,,,5mM64XYoezxjWhOXOeblk6,La Caja de Música,2003-09-15,227893.0,False,0.548,0.476,2.0,-8.092,1.0,0.0292,0.4,0.0,0.0941,0.511,108.566
Cuatro Gatos,Quiero Morir,26,34,,,2qnr81NcTzIGdYyHMmGLID,El Sueño de la Razón,2009-02-09,333973.0,False,0.294,0.886,1.0,-1.8,0.0,0.0414,0.000702,0.345,0.0975,0.286,156.161
Cuatro Gatos,Mañana Quiza Sea Peor,26,34,,,3q7iwolUGDKQodyc1oz4f7,El Sueño de la Razón,2009-02-09,285920.0,False,0.454,0.957,4.0,-1.95,0.0,0.0691,0.000335,0.0686,0.313,0.443,112.085
Cuatro Gatos,Adiós - Acústico,23,34,,,5XBtLAxFkcznqpfDe5v2fw,Me Arriesgaré,2010-09-30,297040.0,False,0.567,0.917,9.0,-3.832,0.0,0.0634,0.0979,0.0,0.939,0.468,126.109
Cuatro Gatos,Lo Que Hay Detrás,21,34,,,5Pqva02F0OZqj3AakSlUhQ,El Sueño de la Razón,2009-02-09,316613.0,False,0.488,0.725,0.0,-4.443,1.0,0.0305,0.00641,6.03e-05,0.197,0.131,135.875
Cuatro Gatos,Hermano Enemigo,23,34,,,0x7DvykXFMV4mgDUvPOzaF,La Caja de Música,2003-09-15,314000.0,False,0.477,0.948,0.0,-4.425,1.0,0.0691,0.0758,0.0113,0.291,0.17,121.974
Cultural Roots,Love Feelings,25,25,,,1CjuK5VQ5wyOkShLhjXCUp,Hell A Go Pop,1984,199133.0,False,0.719,0.417,10.0,-10.026,0.0,0.081,0.0869,2.11e-05,0.0798,0.645,72.875
Cultural Roots,Every Man Has A Right,24,25,,,54OLbDhvPJIVF1cKtp3g1Y,Hell A Go Pop,1984,214933.0,False,0.705,0.442,5.0,-9.268,0.0,0.108,0.0141,0.0,0.208,0.622,73.842
Cultural Roots,Hell A Go Pop,21,25,,,3hTZavdPmvWNVi7w5nWxDY,Hell A Go Pop,1984,195066.0,False,0.722,0.57,11.0,-9.351,0.0,0.0587,0.194,0.0,0.0981,0.814,142.426
Cultural Roots,Reggae Music,21,25,,,04eQZqNa0SCskyXCfVtr3m,Hell A Go Pop,1984,208866.0,False,0.723,0.481,1.0,-9.09,1.0,0.0837,0.00948,1.77e-06,0.0635,0.466,73.779
Catie Curtis,Troubled Mind,20,20,,,4uI5UppCshfFam4ZvIqMUy,Truth from Lies,1996-01-16,240800.0,False,0.499,0.232,9.0,-12.962,1.0,0.0319,0.824,3.22e-05,0.136,0.192,146.584
Cunnie Williams,With Or Without You,35,35,,,5zSXjzQA9rH1vbqAVR5vB0,Star Hotel,1999-01-01,288600.0,False,0.743,0.505,2.0,-7.548,1.0,0.0255,0.0583,0.000115,0.116,0.706,99.986
Cunnie Williams,Saturday - Mousse T.'s House Edit,33,35,,,6oblKNYDOZprcV0VViK03Z,Peppermint Jam Records Pres. Catch the Groove Vol. 5,2014-05-02,206493.0,False,0.877,0.706,9.0,-8.807,0.0,0.0888,0.00197,0.0043,0.103,0.683,122.986
Cunnie Williams,Life Goes One,21,35,,,5mqyZoZb9yCmAZiSQ34wrv,Comme un aimant Version 1 [Bande originale du film],2000-05-23,213413.0,False,0.72,0.369,2.0,-9.86,0.0,0.0825,0.617,8.73e-06,0.103,0.376,78.989
Cuencos Tibetanos,Cuencos Tibetanos,20,20,,,5Rph1tDeFXpkKF5PMgMdRW,Cuencos Tibetanos - Música de Relajacion Con Cuenco Tibetano para Meditar,2018-10-17,458681.0,False,0.374,0.00225,11.0,-18.42,0.0,0.272,0.923,0.944,0.102,0.244,76.22
Cuencos Tibetanos,Cuencos Tibetanos y Aves,20,20,Soñoliento Juan,26.0,34sus2rsLpwu8uhZa94YNo,Cuencos Tibetanos de Canto Meditativo,2020-12-09,117120.0,False,0.43,0.643,8.0,-14.503,1.0,0.357,0.876,0.915,0.674,0.0375,96.632
Cuencos Tibetanos,Ambiente de cuencos tibetanos para dormir,21,20,,,2K6l1AXWn5K31XOBtenwBQ,Ambientes quietos de cuencos tibetanos,2022-06-05,67000.0,False,0.199,0.944,1.0,-26.935,0.0,0.0598,0.824,0.983,0.315,0.0194,52.069
Cuencos Tibetanos,Tazón cantador pacíficos,21,20,,,2AjUEnZMybEIo8xrIVYQEt,Ambientes quietos de cuencos tibetanos,2022-06-05,63000.0,False,0.219,0.973,6.0,-26.924,1.0,0.0395,0.791,0.98,0.409,0.0115,100.088
Cuencos Tibetanos,Tranquilidad de Espíritu,31,20,,,6McVQKwTCMRopvVHledm3o,Cuencos Tibetanos - Música de Relajacion Con Cuenco Tibetano para Meditar,2018-10-17,272768.0,False,0.179,0.000839,9.0,-25.512,0.0,0.0434,0.991,0.961,0.112,0.0425,75.581
Cuencos Tibetanos,Limpiar Energía Negativa,35,20,,,1J5tLQZeH6boeOBdFokxDx,Cuencos Tibetanos Sonidos Relajantes Con Agua Dormir Meditación Relajación Armonizar Chakras - Música Tibetana Relajante Budista para Meditar o Dormir,2019-04-17,458681.0,False,0.374,0.00225,11.0,-18.42,0.0,0.272,0.923,0.944,0.102,0.244,76.22
Cuencos Tibetanos,Calmar la Mente,34,20,,,06GeUQ8QLzS5RFV5SEyj0q,Cuencos Tibetanos Sonidos Relajantes Con Agua Dormir Meditación Relajación Armonizar Chakras - Música Tibetana Relajante Budista para Meditar o Dormir,2019-04-17,269880.0,False,0.292,0.0346,6.0,-17.767,1.0,0.0499,0.986,0.527,0.109,0.0234,72.346
Cuencos Tibetanos,Armonizar Chakras,34,20,,,0YsdbvxHANcSWADPmGfO9N,Cuencos Tibetanos Sonidos Relajantes Con Agua Dormir Meditación Relajación Armonizar Chakras - Música Tibetana Relajante Budista para Meditar o Dormir,2019-04-17,412993.0,False,0.172,0.000831,10.0,-27.812,1.0,0.0479,0.979,0.93,0.108,0.0245,71.646
Cuencos Tibetanos,Las Santas Escrituras (Ondas Delta),20,20,Música Para Meditar y Relajarse,54.0,7tKuhRkSLejUwqD1GFlWC8,Sonidos del Tibet 2019: Música con Cuencos Tibetanos Campanas y Mantras para Sanar,2019-10-03,405424.0,False,0.14,0.0208,10.0,-27.093,1.0,0.0364,0.989,0.83,0.12,0.0362,72.035
Cuencos Tibetanos,Dejar de Pensar,33,20,,,4E5Vx7ikcqYLDOfiwY9ngW,Cuencos Tibetanos Sonidos Relajantes Con Agua Dormir Meditación Relajación Armonizar Chakras - Música Tibetana Relajante Budista para Meditar o Dormir,2019-04-17,360175.0,False,0.383,0.000242,6.0,-28.324,0.0,0.038,0.995,0.93,0.11,0.382,136.874
