Artist,Song,Song Popularity,Artist Popularity,Featured Artist,Featured Artist Popularity,Track ID,Album Name,Release Date,Duration (ms),Explicit,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
Cultural Roots,The Roots - Vocal Dub,3,25,Ras Iyah,29.0,41h4nW8o0b3yJZCQqFD8ev,Dubplates Remix from the Warriors Camp,2019-01-02,210279.0,False,0.801,0.544,11.0,-7.36,1.0,0.0465,0.0023,0.209,0.152,0.635,136.981
Cultural Roots,Tribal Avenue,2,25,,,01XYbJ3rmfGwVQlN367GUN,Cultural Roots: Roots & Culture,2024-11-06,232782.0,False,0.754,0.366,7.0,-14.562,1.0,0.197,0.0166,0.0,0.11,0.793,130.52
Cultural Roots,Babylon Falling - Vocal Dub,3,25,Roots Masahi,18.0,3VOz4m1qs6xfv1lZ1I2Lzc,Remix from the Warriors Camp Chapter 2,2019-08-09,256000.0,False,0.573,0.675,9.0,-9.045,0.0,0.0281,0.00224,0.82,0.127,0.587,144.019
The Curly,Curly,29,29,,,6pHAvkUFK93yIZ1MCaAuYE,Curly,2024-02-02,187652.0,False,0.174,0.664,0.0,-6.292,1.0,0.0332,0.000607,0.000492,0.106,0.223,172.721
The Curly,Curly Q,31,29,,,5etEJrn4QNlm0Z7xIbmnDi,Prince Daddy & The Hyena,2022-04-15,257993.0,False,0.341,0.539,1.0,-7.356,1.0,0.0342,0.0202,4.56e-05,0.102,0.129,170.354
The Curly,Curly Teeth,16,29,,,5w7VPVwIJspdTYQM7mGuJA,Jewellery,2009-03-09,146640.0,True,0.741,0.767,1.0,-8.472,1.0,0.0352,0.718,0.000446,0.156,0.923,110.015
The Curly,Curly Dub,18,29,,,5hTIYs2NEhR6GJMvOgnodu,Super Ape,1976,252706.0,False,0.885,0.555,7.0,-10.769,1.0,0.177,0.00142,0.0294,0.111,0.608,125.427
The Curly,Curly Brackets,11,29,,,572LQk61cvgVIkzjkrdQCb,Yung Tripp Out,2019-03-03,248000.0,False,0.488,0.86,0.0,-8.539,0.0,0.0377,0.0021,0.914,0.656,0.408,120.02
The Curly,Curly Lips,4,29,,,2pGhh7TwzFAiQ15ykVYru6,Imaginary Friend,1994-06-27,268826.0,False,0.538,0.152,4.0,-21.162,1.0,0.0406,0.727,0.657,0.124,0.231,118.723
The Curly,Wishing Bad,28,29,The Alchemist,73.0,5oKzqIFwsRiivu5q98O3VQ,Haram,2021-03-26,225255.0,False,0.555,0.445,0.0,-11.004,0.0,0.345,0.161,7.86e-06,0.799,0.388,105.737
The Curly,Curly Q,16,29,,,2hbJJzgspJQ43mNOirnSyU,Curly Q,2021-10-21,257993.0,False,0.341,0.539,1.0,-7.356,1.0,0.0342,0.0202,4.56e-05,0.102,0.129,170.354
The Curly,Я забувся,33,29,,,5tVANMJGFfQYI4kvOfo6HQ,Я забувся,2022-09-02,97714.0,True,0.81,0.647,10.0,-5.784,0.0,0.101,0.869,0.0,0.129,0.816,90.77
The Curly,Full Steam Ahead,12,29,GameChops,67.0,0B9wwEkCwF9kNhLBdf2HM2,Full Steam Ahead,2022-02-11,226892.0,False,0.512,0.705,7.0,-8.422,0.0,0.036,0.252,0.912,0.203,0.0542,108.98
The Curly,Curly Dub,29,29,,,41dAkjkupLry8yNdSMm3ae,Ape-Ology Presents Super Ape vs. Return of the Super Ape,2008-01-28,250706.0,False,0.87,0.307,6.0,-17.092,0.0,0.244,0.00241,0.0832,0.115,0.537,125.45
The Curly,Curly Toes,6,29,,,5oGd4hYGgXtLlyOnpYs5qj,Songs in the Key of Z Vol. 2: The Curious Universe of Outsider Music,2002,175466.0,False,0.617,0.312,2.0,-9.377,1.0,0.549,0.91,0.0,0.269,0.458,79.919
The Curly,Insomnia,22,29,TheRealVSpence,10.0,61lbKkY39Thg9MRk8DO48X,Insomnia,2016-12-20,260596.0,True,0.565,0.717,6.0,-5.519,0.0,0.112,0.122,0.0,0.0998,0.375,91.907
The Curly,Curly Q,3,29,,,0TW3zWxLdCf0s4AdNJNzsE,El Dorado,2022-03-24,257993.0,False,0.341,0.539,1.0,-7.356,1.0,0.0342,0.0202,4.56e-05,0.102,0.129,170.354
The Curly,Curly Q,5,29,,,0ag6VePiuT0iZoJC05LQyH,Shoelaces,2022-04-05,257993.0,False,0.341,0.539,1.0,-7.356,1.0,0.0342,0.0202,4.56e-05,0.102,0.129,170.354
The Curly,Curly Locks,17,29,The Upsetters,29.0,64Wgrto581pO9OQmsnNkmC,Roast Fish Collie Weed & Corn Bread,1978-04-07,243952.0,False,0.693,0.531,7.0,-10.045,1.0,0.0823,0.00999,1.02e-05,0.0695,0.791,121.186
The Curly,Curly Headed Fucks,3,29,Hank Trill,38.0,3PNlXHmqRV4CqbujSkQM8B,Curly Headed Fucks,2023-11-10,110680.0,True,0.56,0.626,11.0,-9.758,1.0,0.281,0.0325,0.0,0.668,0.732,149.907
The Curly,Curly Dub,3,29,,,6yY7SYteBBRrbvEeMKdhoL,"""Lee Scratch Perry & The Upsetters: Super Ape & Return of the Super Ape""",2012-11-26,253400.0,False,0.894,0.485,7.0,-12.535,1.0,0.215,0.00127,0.0113,0.149,0.535,125.472
The Curly,Curly Q,4,29,,,5jYJIERzUQ12icPNRm8Zdz,A Random Exercise in Impermanence The Collector,2022-03-08,257993.0,False,0.341,0.539,1.0,-7.356,1.0,0.0342,0.0202,4.56e-05,0.102,0.129,170.354
The Curly,Curly Rudy,4,29,,,3Rq73CinUK4wk8xnGCNBY4,Another morning Another pillows,2002-10-23,176533.0,False,0.492,0.914,2.0,-2.539,1.0,0.0683,0.00457,0.00469,0.121,0.792,132.526
The Curly,Curly Dub,9,29,,,4xVWUCHYluMiBstQ494Eg5,The Best of Lee Perry,1996-10-14,250706.0,False,0.87,0.307,6.0,-17.092,0.0,0.244,0.00241,0.0832,0.115,0.537,125.45
The Curly,COME HERE MA !,16,29,Maiya The Don,38.0,5vN7qAyBCcBZJdszsidmbZ,COME HERE MA !,2023-08-23,154824.0,True,0.59,0.528,4.0,-6.081,1.0,0.392,0.275,0.0,0.063,0.62,89.348
The Curly,Curly,8,29,John Mayall & The Bluesbreakers,48.0,4nHdWLJXtcCVMmq1FuRJvQ,Crusade Deluxe Edition,2007-01-01,203680.0,False,0.342,0.576,2.0,-10.39,1.0,0.0303,4.94e-06,0.813,0.0742,0.712,112.514
The Curly,Curly - Alternate Mix,2,29,,,1qkX4RCKAOhNER5VJj93eB,Shazam Deluxe Edition,2007-01-01,165640.0,False,0.551,0.835,5.0,-6.164,1.0,0.0554,0.46,0.0,0.151,0.874,146.969
The Curly,Bringin' in the Georgia Mail,22,29,The Nashville Grass,18.0,5BcfNeAnjBSjFlXq4xOatY,100 Greatest Bluegrass Hits,2008-06-02,141160.0,False,0.594,0.534,9.0,-11.245,1.0,0.0289,0.65,0.0343,0.0607,0.751,139.223
The Curly,I'll Fly Away - Instrumental,12,29,Curly Seckler,12.0,2TMbbjQUK05O2rCSSvyWse,Essential Bluegrass Gospel,2008-05-29,157400.0,False,0.481,0.818,7.0,-5.052,1.0,0.0333,0.00905,0.965,0.325,0.88,131.865
The Curly,The Curly Shuffle,22,29,,,5Pijq9ImAu5xweS1lxAKwK,The Curly Shuffle,2004-11-09,174706.0,False,0.632,0.484,9.0,-11.772,1.0,0.104,0.156,0.0,0.153,0.873,80.687
The Curly,Curly Hair,23,29,,,4P2lMkV2F473AAT21x443r,Curly Hair,2019-04-26,224875.0,False,0.643,0.731,10.0,-5.529,0.0,0.209,0.0464,8.89e-05,0.405,0.44,95.981
The Curly,Curly (Edit),8,29,,,2mkviAbcBEjjz6rpYukf4p,Races Vol. 2,2023-09-13,62415.0,False,0.576,0.478,8.0,-19.2,0.0,0.0361,0.868,0.869,0.11,0.7,163.328
The Curly,Leap Frog - Take 11 / Take 6 / Master Take,36,29,Charlie Parker,53.0,7xZLIErdMaUV0GmtsRclS5,Bird And Diz Expanded Edition,1952-07-01,157306.0,False,0.562,0.728,5.0,-9.14,1.0,0.0984,0.441,3.33e-05,0.351,0.731,78.205
The Curly,The Day That Curly Billy Shot Down Crazy Sam Mcgee - 2008 Remaster,34,29,,,3oNKCXbSUcr5kb7ONdMVOM,Hollies,1974-03-01,267493.0,False,0.545,0.952,9.0,-6.089,1.0,0.0861,0.257,0.0,0.115,0.837,137.96
The Curly,Leap Frog - Take 5 / Complete,17,29,Charlie Parker,53.0,1A279UgI14kgYYrvqFFvrs,Dizzy 100,2017-09-29,150762.0,False,0.505,0.843,5.0,-5.41,1.0,0.136,0.604,0.00622,0.23,0.592,115.991
The Curly,Curly,5,29,,,78p32CvtriAr2jIERUGQnY,Thru the Years,1971-07-19,292986.0,False,0.278,0.361,2.0,-17.463,1.0,0.0365,2.11e-05,0.922,0.1,0.629,112.669
The Curly,An Oscar For Treadwell - Incomplete 411-1,35,29,Charlie Parker,53.0,4KP5a2ykBXcP0q9QDOthqJ,Unheard Bird: The Unissued Takes,2016-01-01,113520.0,False,0.623,0.458,0.0,-11.105,1.0,0.0641,0.222,0.0,0.14,0.67,110.112
The Curly,Relaxing With Lee - Take 2 / Incomplete,38,29,Charlie Parker,53.0,42wbar3MwSjbRwAn7vYDeR,Bird And Diz Expanded Edition,1952-07-01,73440.0,False,0.559,0.38,1.0,-13.858,1.0,0.0402,0.508,3.39e-05,0.298,0.677,88.286
The Curly,Relaxing With Lee - Take 6 / Take 3 / Master Take,34,29,Charlie Parker,53.0,14DEfXQJTnx4VHxU5CI47e,Bird And Diz Expanded Edition,1952-07-01,170933.0,False,0.58,0.389,6.0,-11.995,1.0,0.0405,0.27,0.000949,0.179,0.726,84.24
The Curly,Жарптиця,28,29,The Curly,39.0,3J7YemC8kRUJQJ4yPY42N8,Недовготривалі відносини,2023-05-25,133170.0,False,0.76,0.658,6.0,-6.641,0.0,0.501,0.52,0.0269,0.0839,0.808,164.061
The Curly,Relaxing With Lee,13,29,Charlie Parker,53.0,1koo0p1fMs6TCDGn6zSiUT,Motherless Brooklyn Original Motion Picture Soundtrack,2019-10-25,168062.0,False,0.53,0.425,1.0,-10.902,1.0,0.0543,0.356,0.169,0.215,0.613,84.129
The Curly,Leap Frog - Take 5 / Complete,21,29,Charlie Parker,53.0,1L6jTBgafXtYAj360MTFMZ,Bird And Diz Expanded Edition,1952-07-01,155960.0,False,0.521,0.71,5.0,-9.827,1.0,0.0945,0.395,0.00028,0.186,0.689,113.009
The Curly,"Valdez Off Crenshaw (feat. Kamasi Washington, Cory Henry & Robert Sput Searight)",25,29,Curly,39.0,3Okyf6bGfdiDwqe5T9uS7z,Curly,2023-07-28,456114.0,False,0.701,0.541,10.0,-8.326,0.0,0.0854,0.0692,0.907,0.102,0.494,159.959
The Curly,An Oscar For Treadwell,13,29,Dizzy Gillespie,50.0,5bJjBQZvRTz8qeU0BnJ2Fs,Bird And Diz Expanded Edition,1952-07-01,204200.0,False,0.519,0.642,0.0,-9.073,1.0,0.0365,0.515,0.000469,0.129,0.752,109.232
The Curly,An Oscar For Treadwell - Take 3 / Alternate Take,18,29,Charlie Parker,53.0,6CN3FXpU0VOa6XoRZ6dt83,Bird And Diz Expanded Edition,1952-07-01,208906.0,False,0.621,0.639,5.0,-8.736,1.0,0.0388,0.409,4.81e-06,0.0539,0.696,110.968
